reviewText,rating,summary,review_sentiment,summary_sentiment,hallucination,hal_score
"I purchased these for my husband for Christmas, he wore them maybe 5 times, the belt loop tore off and the Levi logo on the back pocket fell off. Im not really sure if these are authentic since Levis are made better than that. The return window is closed and he is stuck with these.",1,Fake Levis?,NEGATIVE,NEGATIVE,neutral,0.7137090563774109
not even close to the fit of other Levi's,3,Three Stars,NEGATIVE,POSITIVE,neutral,0.9561541676521301
Your new favorite jeans,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8524696230888367
Happy with my order. Will order again when I need some more.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9291444420814514
"Ordered Shrink to Fit 501 original jeans. Washed. Did not shrink. These are pre washed 501, used to be marked 502! Have to wonder if this was a bait and switch or possibly imitations, not true Levi brand.
Will not order Levi jeans from Amazon again. A very expensive mistake!",1,To receive what was advertised by Amazon vendor!,NEGATIVE,NEGATIVE,contradiction,0.9685728549957275
Good pair of pants fits well,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9654222726821899
Ok but I will go a size up next time,5,Five Stars,POSITIVE,POSITIVE,neutral,0.7873410582542419
Every pair fits a little different,3,Fit in a good pair of jeans,POSITIVE,POSITIVE,neutral,0.878065288066864
Great I love them! Just as I hoped!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8850822448730469
They fit great!,5,They fit great!,POSITIVE,POSITIVE,entailment,0.9600010514259338
Perfect fit. Classic style.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8794385194778442
"I have a pair of 34-34 501s that are just going in the knee so I bought another pair from here to replace them.  It says 34-34 on them but I couldn't even button up the fly, let alone the top button.  These were RIDICULOUSLY small.",1,I have a pair of 34-34 501s that are just ...,NEGATIVE,POSITIVE,entailment,0.7711381912231445
I revived fake Levis 501 Jeans,1,Authenticity,NEGATIVE,POSITIVE,contradiction,0.7623565196990967
"501's! I thought.  Bring back the 80s!  I thought.  Now I just need a Don Johnson jacket and Capezio's I thought.  I was so excited to get 501's that I was absolutely DISGUSTED when the back right belt loop RIPPED away from the jeans leaving a hole on their FIRST wear during which time I did nothing strenuous.  Do not be fooled, this is not the same company that used to make great jeans and they have no business charging what they do for them.  I have a garbage pair of store-brand Target jeans that has lasted 10 years!  I am intensely disappointed and won't buy Levi's again.",2,Inexcusably low quality.,NEGATIVE,NEGATIVE,neutral,0.6542788147926331
Did not realize it is a button fly. Fits my husband well.,4,Four Stars,POSITIVE,POSITIVE,neutral,0.8369630575180054
"The original, what more can I say!",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9184560179710388
fast delivery and fits well.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9753572940826416
"I had not worn 501s for 40 years.  I bought one pair, and they fit so well I bought 2 more pairs. And equally important, all 3 pairs were constructed without a flaw.  505s will just have to share space in the closet.",5,Great fit and very comfortable!.,POSITIVE,POSITIVE,neutral,0.7936496734619141
My waist is size 32...I always buy 501s in size 34 waist as I did with these and they were too tight in the thighs. I believe a 36 would be too big in the waist. Ive purchased 501s before in size 34 waist from a Levis store and I had no problems. Im not sure if these were just the wrong cut or I need to look outside of the 501 model,3,My waist is size 32... I always ...,NEGATIVE,POSITIVE,entailment,0.8802274465560913
"Nice fit, I've been wearing 501s for over 50 years.",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9510478377342224
on time and as described,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9415748715400696
These jeans are a Thin  material not as heavy as Id like,3,These jeans are a Thin material not as heavy as ...,NEGATIVE,NEGATIVE,entailment,0.954239547252655
The product was fine but too small.  I was disappointed that I had to pay more when I exchanged it for a different size.,3,Exchange cost me money,NEGATIVE,NEGATIVE,entailment,0.9399915933609009
"Fits great.  I love 501 black Levis.  501s are the best pants that I have ever owned.  Great look.  If in doubt, and they are on sale, go for it, and treat yourself to a pair.  Theyre awesome!",5,Best pants you can get!,POSITIVE,POSITIVE,neutral,0.8380352258682251
"Love these jeans, although I did mess up and get the button fly instead of a zipper.  I decided to keep them anyway.  Getting used to the buttons.  LOL",5,Great fitting jeans,POSITIVE,POSITIVE,neutral,0.7822675108909607
"They fit expected. Nice jeans, this is my second pair",5,"Nice jeans, this is my second pair",POSITIVE,POSITIVE,entailment,0.9619585871696472
I have ordered thes pants in blue and back. The. Black were much smaller than the blue. I had to order the next larger size and they fit snugger than my blue ones.,4,Black need to be ordered a size up,NEGATIVE,NEGATIVE,neutral,0.7798938155174255
Perfect fit,5,Perfect fit,POSITIVE,POSITIVE,entailment,0.6289992332458496
"It's not Amazon's fault.

Levi's has myriad different levels of quality, now. 501's are *not* what they were when one could only buy the ""raw"" cloth type, and had to wash 'em five times before they were comfortable. Levis, especially 501s, are best purchased in a brick-and-mortar store, preferably a high-quality one, than they are on-line. We've found some great buys at stores where we could examine the merchandise.

Late to the party with this review. The pair I bought from Amazon has recently worn out; as a hole appeared in a rather compromising (crotch) part of the pants. Not like the Levi's I know and love... I threw them away, and it made me feel wasteful.",2,and had to wash 'em five times before they were comfortable. Levis,NEGATIVE,NEGATIVE,neutral,0.8052210807800293
Good Quality Jeans,4,Good Quality,POSITIVE,POSITIVE,entailment,0.7234891057014465
Super easy to find the wash and size needed at a decent price.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9748879075050354
Levis always fit well. And look great.,4,Fit,POSITIVE,POSITIVE,entailment,0.48357754945755005
Nice enough Levi's even though they are not made in America any longer.,4,Four Stars,POSITIVE,POSITIVE,neutral,0.9673027396202087
All great,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9193235635757446
Great!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8449100852012634
"I've been wearing 501s for a couple of decades and after this pair of jeans I'm done. The cut is different (more skinny jean like), sits too low and the fabric feels super thin and soft. I'm not some hip California kid, just a regular guy who really liked my normal 501s. I'd own two to three pair the newest of which might get worn to the office on a Friday and the older ones used for outdoor work. This new 501 is no good for either. Too low to wear to the office. Too thin of material to have any chance of standing up to any actual use.",1,New cut. New material. I do not like.,NEGATIVE,NEGATIVE,entailment,0.9634024500846863
"PRODUCT WAS PERFECT, GOT THE ITEM FAST, AMAZON THE BEST",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9626190662384033
"Prefer the stretch fit, otherwise it was fine.",4,otherwise it was fine.,POSITIVE,POSITIVE,entailment,0.7028513550758362
Although it fit well I ordered blue and got gray. You should not show something that is not available. Delivery was great but it is not what I ordered. I wanted regular original and they only came in blue. The load of pictures of every shade imaginable and most of them being unavailable does you no good.,1,I ordered blue and got gray. You should not show something that is not available.,NEGATIVE,NEGATIVE,entailment,0.9826005101203918
Awesome product,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9323472380638123
"noway were the sizes selecteed right...34 inch waist would not close,,,,legs tight,,,what a waste of money,,sent to my son and he was disappointed",1,misfit,NEGATIVE,NEGATIVE,neutral,0.9734029769897461
a classic fit...,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8455163836479187
Great 501's as always,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8933666944503784
"Nice color, really thick/sturdy denim.... but far, far, far too small... not even close to the size advertised / labelled.  Have to return.

I've worn the same size/style 501 jeans for years. I held these up against my current pair (freshly washed/shrunk) and these were a full two inches smaller than the ones I currently own.

Should have read the other reviews about the sizing issues and ordered one size bigger.

Luckily, there are free returns on my purchase so I can send them back.",1,Much smaller than labelled / advertised.,NEGATIVE,NEGATIVE,entailment,0.7624776363372803
Excellent!!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8444646596908569
just getting back to smaller size these are a little snug in the callves but I'm sure they will fit nice soon,5,... in the callves but I'm sure they will fit nice,POSITIVE,POSITIVE,entailment,0.8652682900428772
Fit way too tight and not like regular Levis usually a 34/30 fits fine!!!,1,They run smaller!! Get a size up,NEGATIVE,NEGATIVE,neutral,0.933266818523407
"Perfect, as labeled, original 501's...",5,Five Stars,POSITIVE,POSITIVE,neutral,0.8225458264350891
"The jeans are great, I got the wrong fit for myself, nothing wrong with the product whatsoever",5,Five Stars,POSITIVE,POSITIVE,neutral,0.5302661061286926
Fits as they are supposed to. Just wish Levi's were built as good as in the past.,4,Fit is correct.,POSITIVE,POSITIVE,entailment,0.913212776184082
Didn't realize these were all Button flies. I feel as though my head was in the sand I guess. I need to return these>,3,Didn't realize these were all Button flies. I feel ...,NEGATIVE,POSITIVE,entailment,0.9567751884460449
Not the quality of the older 501's but that could just be me.  My partner's favorite style of jeans and he looks great!,4,My partner's favorite style of jeans and he looks great,POSITIVE,POSITIVE,entailment,0.8201014995574951
Levi's never disappoint.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8847387433052063
I'm a first-time buyer of Levis online. Amazon has really impressed me again. I knew the quality of denim as expected. I was not disappointed! Thank you for making this purchase a success. There are no retailers in my area that carry my choice of jeans. Now I know I can trust Amazon when purchasing denim in the future. Thank you very much!,5,I was not disappointed! Thank you for making this purchase a success,POSITIVE,POSITIVE,entailment,0.8706742525100708
His favorite.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8786729574203491
Fit a little tight for me will pass to my grandson,4,Four Stars,POSITIVE,POSITIVE,neutral,0.7957742214202881
There great i love them!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8219114542007446
"Love the Levis. Why buy them anywhere else? Arrived on time, fit perfect, color is as expected. And the price is great. Will order again when needed!",5,Love the Levis,POSITIVE,POSITIVE,neutral,0.7391610741615295
"My Dad has been a Levis fan since the 70's, and i thought that he would really appreciate these as a present. He was asking for new jeans for awhile, and he hadn't had a good, decent pair of Levis in so long. As soon as he opened these he put them on and said ""These feel the same as the ones I had when I was 18"" and THAT is why I got them, for that reaction. Levis are such a great brand, the 501's are a classic, thoughtful gift to any hard working Dad like mine who deserve that kind of nostalgia",5,"Classic Fit, Reliable Brand",POSITIVE,POSITIVE,neutral,0.8395453691482544
"Great jeans, perfect fit and delivered to the doorstep!",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9605435132980347
"Classic 501s-- they look, fit, feel just as they should,  as they always do",5,Five Stars,POSITIVE,POSITIVE,neutral,0.926407516002655
Very comfortable and a fit as expected.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9516891837120056
Good jeans for the price point.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9414851069450378
I didn't realize the pre washed Levis shrink less than the original unwashed ones.  Next time I'll look for the unwashed ones.,4,I didn't realize the pre washed Levis shrink less than ...,NEGATIVE,NEGATIVE,entailment,0.8429380059242249
Hubby likes them!  They fit good and the price was right.,5,Nice Jeans,POSITIVE,POSITIVE,neutral,0.8407270312309265
"After 1 wash, some stitching came open on the side below the pocket, about 2 inches.  I did not expect this from Levi's. I guess they do not make them how they use to. Now I have to get them repaired by someone, it will take to long to mail them back.",3,"Fit good, not made like they used to be.",NEGATIVE,POSITIVE,neutral,0.7750661969184875
They didn't fit super disappointed,1,They didn't fit super disappointed,NEGATIVE,NEGATIVE,entailment,0.9201374650001526
"I discovered this cut of Levis around 2009 and haven't switched since. I find the fit snug, however I may be giving myself too much credit with my waistline when choosing my size. I prefer the tight pants however, and for me these fit perfectly. Amazon usually has the cheapest price, and if you have freakishly short legs like myself you can get shorter lengths not usually carried at retailers.",5,and if you have freakishly short legs like myself you can get shorter lengths not usually carried ...,POSITIVE,NEGATIVE,neutral,0.962690532207489
They don't fit like regular 501s you buy at the store for some reason. They run small.,2,Two Stars,NEGATIVE,POSITIVE,neutral,0.6843491196632385
In the rare occasion I'm not wearing Carhartts these are what I wear. Casual and fit well,5,Levi's pants are awesome.,POSITIVE,POSITIVE,neutral,0.606204628944397
I'd give it 5 stars if it was made exactly like the 501s commonly available in the USA back in the 1970s. Attention to detail was lacking in this modern imported example. Otherwise a rugged and serviceable pair of denim pants.,4,... give it 5 stars if it was made exactly like the 501s commonly available in the USA back in ...,NEGATIVE,NEGATIVE,entailment,0.9907841682434082
Fits perfectly great and at a great price!!!,5,Perfect fit!,POSITIVE,POSITIVE,entailment,0.9757760167121887
"Good price and fit as expected.  Washed well, not a lot of shrinkage.",5,"Good price for 501""s",POSITIVE,POSITIVE,neutral,0.9837471842765808
"The waist and length were accurate, but your legs better be made of sticks, or they will act as tourniquets about mid-thigh.",1,"Odd dimensions, maybe they're supposed to be skinny jeans for tall people?",NEGATIVE,NEGATIVE,contradiction,0.9486398696899414
Love 501's.  I've been wearing them since college (and that's been a while).,5,Man's best jeans.,POSITIVE,POSITIVE,neutral,0.9275760054588318
Classy and chic,5,Just call me Alejandro Sosa,POSITIVE,POSITIVE,contradiction,0.4947810471057892
I've been wearing button fly 501 jeans as far back as I can remember and love the fit. Wish the denim was as thick as it used to be.,5,... jeans as far back as I can remember and love the fit,NEGATIVE,POSITIVE,entailment,0.9496130347251892
The fit is great.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9402755498886108
No complaints,5,Five Stars,POSITIVE,POSITIVE,neutral,0.7981894612312317
Fits perfect on my husband,5,Five Stars,POSITIVE,POSITIVE,neutral,0.956008791923523
"Well, ordered these because I have exactly the same size. Consequently, knew precisely what I was getting. Whats not to like?  ",5,Whats not to like? ,POSITIVE,POSITIVE,neutral,0.5530359745025635
Love the original button fly 501 jeans there is nothing like them!,5,Love the original button fly 501 jeans there is nothing like them!,POSITIVE,POSITIVE,entailment,0.9622800350189209
These were exactly what I was looking for and for a reasonable price.,5,501's right!,POSITIVE,POSITIVE,neutral,0.6774275302886963
Love these jeans !!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9342042803764343
"He has no butt, so jeans are difficult, these fit him well and look great on him.",5,They fit the Buttless guy.,POSITIVE,POSITIVE,entailment,0.9791020750999451
The pants were marked as the size I ordered (32 inch waist) but they are actually 34 inches.,1,"Too big, Size not as marked.",NEGATIVE,NEGATIVE,neutral,0.5868624448776245
Great!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8449100852012634
Timeless classic. Lots of choice in terms of fit and sizing. Staple semi-formal office wear for me.,5,Timeless classic..,POSITIVE,POSITIVE,contradiction,0.8297141194343567
No problems.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.6497988700866699
"Convenience
Dislike pricing",4,Convenience Dislike pricing,NEGATIVE,NEGATIVE,entailment,0.7550548315048218
"Tight at first, but after a wash and wearing they settle in. Buttons are a little hard to unclasp, but they get easier.",5,"Tight at first, but after a wash and wearing ...",NEGATIVE,NEGATIVE,entailment,0.8499128818511963
"Great fit, very comfortable!!!",5,Very comfortable,POSITIVE,POSITIVE,entailment,0.9123879671096802
I've worn the same size of this Levi's style for years and they fit fine. However the bottom 2 buttons were very hard to button. I had to do both of them while not wearing them. Almost had to use a pair of pliers to button them. Then I put the pants and was able to button the top 3 without any problem. Fortunately I can just keep the bottom 2 buttoned and get the pants on and off.,4,"Fit well, but not all buttons worked",POSITIVE,NEGATIVE,neutral,0.6528606414794922
Great weave and durability! My husband looks fantastic (hot!) in these!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9488233327865601
good price,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9151315093040466
I love these jeans and have bought them for years.  I only wish Levi made a jean like them that fit this well and have a ZIPPER fly.,5,Fit Great,POSITIVE,POSITIVE,neutral,0.4744391441345215
They don't fit quite like the other 501 jeans I bought from Amazon,3,Three Stars,NEGATIVE,POSITIVE,neutral,0.9826995134353638
"Siempre fui fans de Levis, pero estos Jeans se pasan, parecen lona de circo ",1,One Star,NEGATIVE,NEGATIVE,neutral,0.5813260674476624
Great quality and fitting,5,Material and endings high level,POSITIVE,POSITIVE,neutral,0.8262993693351746
I love my Levi jeans and these are no exception. Fit as expected and high quality and durable.,5,Great jeans!,POSITIVE,POSITIVE,entailment,0.8709414005279541
Perfect fit for not trying them on first!,5,Perfect fit!,POSITIVE,POSITIVE,entailment,0.8596329092979431
"I am withholding a review since I prefer a zipper front not button up.  I have searched for a zipper front, 42 x 34, with no luck.  Once my month is up, i guess I'll be stuck with them.",3,I am withholding a review since I prefer a zipper ...,NEGATIVE,NEGATIVE,entailment,0.8499675989151001
To small for my husband. He wound up ripping out the crotch area.,2,Two Stars,NEGATIVE,POSITIVE,contradiction,0.5842413306236267
Fits nice. Very comfy.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9188223481178284
Levis 501 doesnt need my review that will say that this is the best jeans ever!!,5,501 - enough said !,POSITIVE,POSITIVE,entailment,0.8133698105812073
Love 501. Size chart helped me get the right fit! So happy. Will reorder again.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9622305035591125
Great quality and last for years. I would highly recommend levi 501 pants. I've bought two pairs that have lasted me 3 years and still ware them.,5,Awesome pants,POSITIVE,POSITIVE,entailment,0.5142025947570801
Whats there not to like I've been Levi wearer all my life.,5,Five Stars,NEGATIVE,POSITIVE,neutral,0.8557586073875427
"The same size, I can put on lee's pants but ur pants I can't get in",2,Two Stars,NEGATIVE,POSITIVE,neutral,0.7273815274238586
"Since I have worn these jeans for years, fit was right on and the delivery from Amazon worked very well for me..",5,"Since I have worn these jeans for years, fit ...",POSITIVE,POSITIVE,entailment,0.9190500378608704
Awesome!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.754497230052948
Look good fit good and feel very cheap I have had 501 in the past and they was worth it they was rugged they was tough these feel thin as paper,3,I don't think they're worth it at all,NEGATIVE,NEGATIVE,contradiction,0.8872163891792297
Its the perfect fit,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9538848996162415
ok,4,Four Stars,POSITIVE,POSITIVE,neutral,0.8722444772720337
Good quality,5,Good quality,POSITIVE,POSITIVE,entailment,0.6254220008850098
Really enjoy the metal buttons vs a normal zipper,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9436952471733093
Gave for gift,4,Four Stars,POSITIVE,POSITIVE,neutral,0.8497028946876526
Nice!!!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8261843919754028
Perfect fit,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9306688904762268
"Technically, these are jeans: they are blue, have rivets, belt loops, and are made from fabric that resembles denim. However, I think my daughter's American Girl Doll jeans are better quality (and cost less) than these. The material is thin, looks cheap and is scattered with snags and small holes. The stitching is poor and uneven and some of it is green. Why is it green??? The crotch has an unfortunately awkward cut, and there are only FOUR flimsy buttons in the fly (including the waist button).  Even the red tag is sad and misplaced. They look ridiculous.",1,"Either the counterfeiters who made these failed miserably, or Levi's needs to reconsider its production standards.",NEGATIVE,NEGATIVE,neutral,0.9792892932891846
good,5,Five Stars,POSITIVE,POSITIVE,neutral,0.7669503688812256
My husband has been wearing 501jeans since the 70's. Always a great fit. You have to wash 2 or3 times so they are soft to wear. Comfort after that.,5,Always a great fit. You have to wash 2 or3 times ...,POSITIVE,POSITIVE,entailment,0.7987094521522522
Very tight to be my size more skinny than loose  fit I tried the 569 better fit,2,... more skinny than loose fit I tried the 569 better fit,NEGATIVE,NEGATIVE,entailment,0.9637806415557861
Fit perfectly and Im slim 61,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9303035736083984
They just fine,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8999071717262268
Fit perfect just as if I went to the store but this way saved me on gas,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9763004779815674
Levi's always fit as expected and never had a bad their pair of jeans.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9727017283439636
Good to know that you can buy a quality product online. great timely service,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9749376177787781
My husband didn't like these because they had buttons instead of a zipper- it wasn't listed on the description that I saw. Had to return. Fit was expected.,3,Not a zipper.,NEGATIVE,NEGATIVE,entailment,0.40445300936698914
excelent,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8588744401931763
Excellent,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8514291048049927
"Perfect jeans for vintage styling. They fit me very well as a bigger dude, will never buy another type of pant ever again. Please note that they will start out really tight in the thigh, as will all denim they break in very quickly.",5,Perfect jeans for vintage styling,POSITIVE,POSITIVE,neutral,0.8331261277198792
Good quality product.  Fit as expected.  Arrived earlier than stated.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9434245228767395
Can't go wrong levis,4,Four Stars,POSITIVE,POSITIVE,neutral,0.8884474635124207
Love them feel and fit great. Definitely live up to the hype once you get past the no zippers.,5,They Live Up To The Hype,POSITIVE,POSITIVE,entailment,0.9560639262199402
501s have been my go to jeans for years.  Never been disappointed.,5,Love 'em,POSITIVE,POSITIVE,neutral,0.49837231636047363
"Careful, as described these jeans have button closure, no zipper. Had to return..oopps!",2,Two Stars,NEGATIVE,POSITIVE,contradiction,0.6638699769973755
The Levis were a gift,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9496495723724365
"UPDATE - Yeah these are garbage.  They are Levi's in name only and don't carry the quality you'd expect.  These are going back and my hunt to find a reputable denim company to replace my 505s continues!!  I'm only rating 1 star so i can leave a review.  Otherwise they should pay me for the time I've taken out of my day to review their garbage.

I'm not impressed at all with these 501s.  Normally I wear 505s and when I say normally I mean I have 1 good pair of jeans that i wear regularly, they are old, they are ""broken in"" and they are Levi's 505s.  I've lost some weight recently so i decided to purchase a new pair of Levi's and went with the classic 501s.  Wow the quality seems to have really taken a dive.

These Jeans are stiff.  No, not like new jean stiff.  I'm talking I could stand them up on their own without any support.  While unfolding them I joking thought to myself ""these jeans are so stiff they might crack!"".  Stiffness aside, the jean material feels much cheaper than my previous pair which have been worn hundreds of times and is still a much better quality than these brand new 501s.

I've washed them twice in a effort to get off the extra die and to try and loosen them up.  They still feel crunchy and stuff.  I'm going to wear them around a couple hours to see if them relax and break-in at all.  If not, these are heading back.",1,Skip Levi's and go with another brand ... the quality is really down the tubes,NEGATIVE,NEGATIVE,neutral,0.7336564064025879
"I didn't like my pants because they are stained
Very disappointed!!!",1,One Star,NEGATIVE,NEGATIVE,contradiction,0.8161301612854004
"Reliable solid jeans, fit as expected.",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9607593417167664
"Fast shipping, nice item.",5,nice item.,POSITIVE,POSITIVE,neutral,0.7185444235801697
Nice jeans!,5,They're levi's,POSITIVE,POSITIVE,contradiction,0.4437480568885803
"The denim material is way too thin. The first tear occured at the right back pocket, the second in the crotch area. I am between a 36 and 38 but still my 501 in 38 ripped. I had the same issue with Lewis 550 and send the damaged pants with a letter and a summary of customer reviews found on the internet back to the Levis HQ in SF. I am awaiting an answer....",1,Safe your money and buy a more durable brand,NEGATIVE,NEGATIVE,neutral,0.9690915942192078
My fault!  Thought stone washed was a color so ordered my usual size thinking they were shrunk to fit 501's.  Subsequently they were WAY to big.  Now will see how the return & replace works,3,My fault! Thought stone washed was a color so ...,NEGATIVE,NEGATIVE,neutral,0.9768179655075073
Perfect fit.  AS described.  Thanks!!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9072641730308533
My husband only wears Levi 501 button fly jeans. He loves these and the price is better than any store in our area.,5,He loves these and the price is better than any store in our area,POSITIVE,POSITIVE,entailment,0.9264730215072632
Good quality. nice fit.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8162896037101746
"These do not fit like other Levis in the same size, run much smaller",2,Two Stars,NEGATIVE,POSITIVE,neutral,0.8497601747512817
Love them!  Fit perfect,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9165405631065369
"My order was delivered on time and the products arrived well, as I expected.",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9807648062705994
Love them,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9478471279144287
Fit is perfect,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9629680514335632
poor quality,1,One Star,NEGATIVE,NEGATIVE,neutral,0.5310839414596558
"Perfect fit, color, and condition.
Will consider purchasing again.",5,Just like in dept store.,POSITIVE,NEGATIVE,neutral,0.9587910771369934
Great color and fit really well. I love this style.,5,Great jeans,POSITIVE,POSITIVE,neutral,0.8224713206291199
Fit as expected,4,Four Stars,POSITIVE,POSITIVE,neutral,0.9718683958053589
Was able to get size I wanted and they fit great!,5,... able to get size I wanted and they fit great!,POSITIVE,POSITIVE,entailment,0.9887056946754456
A tiny bit large but will shrink enough to fit perfectly.,4,Buy jeans a slight bit large to allow for a little shrinkage.,POSITIVE,NEGATIVE,neutral,0.9731463193893433
"The fit was good, but the one thing that should have been pointed out  that it was a button fly, not a zipper.",3,"The fit, which was very good.",NEGATIVE,POSITIVE,entailment,0.9871074557304382
Excellent length. Excellent jeans.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.7637356519699097
Runs a little long or Im getting a little shorter.,4,Four Stars,NEGATIVE,POSITIVE,contradiction,0.7679783701896667
Exactly the style and fit and comfort my husand is used to over last 30 years. Color is exact. So pleased. Delivered Fast too. Prime is awesome.,5,Perfect color and fit,POSITIVE,POSITIVE,entailment,0.8427294492721558
Good fit!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.919410765171051
"I've been wearing Levi's since I could fit into them. They were the jeans back when I was a kid. I was so sick of Sears Toughskins because they had the reinforced knees that looked like somebody had stuffed a piece of cardboard in there. They screamed ""Your Mom is Practical!"" Levi's, on the other hand, were cool. It was what the hippies and fishermen wore. I'm talking about the early 1970s in Alaska. I grew up in that alternative lifestyle, one where if you wore a sport jacket, it was used. And you wore a paisley shirt, maybe some work boots. You rolled your own cigarettes and the other stuff, too. So anyway, I'm a fan. I remember wearing Levi's to work everyday as a reporter at the Anchorage Times, may that great paper rest in peace. And I still wear them, except now I work for a rural weekly waiting for technology and the economy to send all us old reporters out to pasture. Of course, I also wear slacks, LL Bean khakis. But the Levi fit is second to none. I tried Lee again but was dissatisfied. Higher waisted. Baggier. I had some Lees that rocked back in fourth grade but got battery acid all over them and they disintegrated. Batteries die at 30 below zero and you have to muscle them inside to warm and charge. I wore the same size 501s for years. I'd wash them several times so they'd soften. But now I'm old and wider. I wear 36 waist and 34 inseam. I wear a belt. And I love these pants.",5,Started wearing Levi's in Alaska just to copy the fishermen and hippies (the real ones),POSITIVE,NEGATIVE,neutral,0.5329201221466064
"A bit funny cut according to my son, still comfortable, and quality is as expected, very good.",5,Good jeans,POSITIVE,POSITIVE,neutral,0.7041424512863159
"Nice fit and heavier weight denim than the cheap crap one finds nowadays. PLUS, it's not easy finding 29"" lengths for midgets like me.",5,Nice fit and heavier weight denim than the cheap crap ...,POSITIVE,POSITIVE,entailment,0.9825381636619568
Great,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8788294196128845
"These jeans were like stiff stiff canvas even after washing multiple times
material is a huge rip off",1,Terrible jeans- material is a stiff as luggage,NEGATIVE,NEGATIVE,entailment,0.8007197380065918
"I've worn Levi 501s for 70 years.  I like the way they fit, look and wear.  The only problem is finding them then digging through a disorganized stack.  Amazon is a good source, easy to navigate, offering them at a reasonable price.",5,"Good Jeans, good price",POSITIVE,POSITIVE,entailment,0.5492438077926636
Where does it say they are button up instead of zipping up? I received the button up instead;not happy with that!!,1,not happy with that,NEGATIVE,NEGATIVE,neutral,0.8780463337898254
Standard jeans. As expected.,4,Four Stars,NEGATIVE,POSITIVE,neutral,0.4970451295375824
"The pants seem to used! I have bought 501s for years and these don't fit the same. Also, they appear to be used; very faded!",1,The pants seem to used! I have bought 501s ...,NEGATIVE,NEGATIVE,entailment,0.9863335490226746
"I bought these for my husband.  You can't go wrong with Levis....wish they made these in our country, like they use to.  Be careful you may not want the button fly version.  I did return 1 pair because of this issue.",4,good jeans,NEGATIVE,POSITIVE,neutral,0.8813233375549316
Bought as gift.,5,Bought as gift.,POSITIVE,POSITIVE,entailment,0.9843888282775879
classic 501  LIKE IT,4,Four Stars,POSITIVE,POSITIVE,neutral,0.5282790660858154
"Bought for my father in law, fit was as expected.  Price was much less than in the stores in the towns around his home.",5,"Bought for my father in law, fit was as ...",NEGATIVE,POSITIVE,entailment,0.909640371799469
